EUR
+U1418343   SCTY    2015-01-06, 11:31:42    2015-01-09  -   BUY 25  48.5100 -1,212.75   -1.00   0.00     
+U1418343   SCTY    2015-01-06, 11:39:08    2015-01-09  -   BUY 25  48.0100 -1,200.25   -1.00   0.00     
+U1418343   SCTY    2015-02-04, 10:19:45    2015-02-09  -   BUY 25  54.0100 -1,350.25   -1.00   0.00     
+U1418343   SCTY    2015-02-04, 12:54:47    2015-02-09  -   BUY 50  53.5000 -2,675.00   -1.00   0.00     
+U1418343   SCTY    2015-02-18, 16:58:57    2015-02-23  -   BUY 25  53.7500 -1,343.75   -1.00   0.00     
+U1418343   SCTY    2015-02-25, 11:12:31    2015-03-02  -   BUY 25  52.3780 -1,309.45   -1.00   0.00    D
+U1418343   SCTY    2015-03-02, 14:37:11    2015-03-05  -   BUY 25  50.5000 -1,262.50   -1.00   0.00     
+U1418343   SCTY    2015-03-05, 08:12:37    2015-03-10  -   BUY 25  50.7900 -1,269.75   -1.00   0.00     
+U1418343   SCTY    2015-03-05, 12:38:31    2015-03-10  -   BUY 75  51.4950 -3,862.12   -1.00   0.00    D
+U1418343   SCTY    2015-03-16, 10:08:02    2015-03-19  -   BUY 25  47.0400 -1,176.00   -1.00   0.00     
+U1418343   SCTY    2015-04-27, 10:07:32    2015-04-30  -   BUY 25  61.7500 -1,543.75   -1.00   0.00     
Total SCTY (Bought) 1,705   53.0110411  -90,383.82  -41.00  0.00     
+U1418343   SCTY    2014-10-30, 13:02:13    2014-11-04  -   SELL    -138    54.6000 7,534.80    -1.17   0.00    P
+U1418343   SCTY    2014-11-17, 09:47:08    2014-11-20  -   SELL    -142    54.0000 7,668.00    -1.17   0.00    P
+U1418343   SCTY    2014-11-18, 09:37:22    2014-11-21  -   SELL    -50 54.9800 2,749.00    -1.06   0.00     
+U1418343   SCTY    2014-11-18, 10:49:50    2014-11-21  -   SELL    -50 56.4000 2,820.00    -1.06   0.00     
+U1418343   SCTY    2014-11-19, 09:38:31    2014-11-24  -   SELL    -50 55.9900 2,799.50    -1.06   0.00     
+U1418343   SCTY    2014-11-21, 09:59:33    2014-11-26  -   SELL    -50 55.9350 2,796.75    -1.06   0.00    D
+U1418343   SCTY    2014-11-21, 11:34:46    2014-11-26  -   SELL    -100    55.7000 5,570.00    -1.12   0.00     
+U1418343   SCTY    2014-11-24, 09:44:25    2014-11-28  -   SELL    -50 56.0000 2,800.00    -1.06   0.00     
+U1418343   SCTY    2014-12-03, 10:35:27    2014-12-08  -   SELL    -50 52.5500 2,627.50    -1.06   0.00     
+U1418343   SCTY    2014-12-04, 10:02:33    2014-12-09  -   SELL    -50 52.5500 2,627.50    -1.06   0.00     
+U1418343   SCTY    2014-12-05, 09:42:03    2014-12-10  -   SELL    -25 53.2500 1,331.25    -1.03   0.00     
+U1418343   SCTY    2014-12-05, 09:46:19    2014-12-10  -   SELL    -25 53.5000 1,337.50    -1.03   0.00     
+U1418343   SCTY    2014-12-05, 09:52:42    2014-12-10  -   SELL    -25 53.9900 1,349.75    -1.03   0.00     
+U1418343   SCTY    2014-12-08, 09:35:05    2014-12-11  -   SELL    -75 53.4500 4,008.75    -1.09   0.00     
+U1418343   SCTY    2014-12-08, 12:31:55    2014-12-11  -   SELL    -150    52.3000 7,845.00    -1.17   0.00    P
+U1418343   SCTY    2014-12-08, 13:20:38    2014-12-11  -   SELL    -75 52.0500 3,903.75    -1.09   0.00     
+U1418343   SCTY    2014-12-18, 10:16:56    2014-12-23  -   SELL    -25 53.7400 1,343.50    -1.03   0.00     
+U1418343   SCTY    2014-12-18, 10:20:11    2014-12-23  -   SELL    -25 53.9900 1,349.75    -1.03   0.00     
+U1418343   SCTY    2014-12-19, 10:03:42    2014-12-24  -   SELL    -25 53.8900 1,347.25    -1.03   0.00     
+U1418343   SCTY    2014-12-19, 13:46:32    2014-12-24  -   SELL    -25 53.9900 1,349.75    -1.03   0.00     
+U1418343   SCTY    2014-12-19, 14:35:16    2014-12-24  -   SELL    -25 54.2000 1,355.00    -1.03   0.00     
+U1418343   SCTY    2015-01-05, 10:53:37    2015-01-08  -   SELL    -25 51.3000 1,282.50    -1.03   0.00     
+U1418343   SCTY    2015-02-02, 10:31:46    2015-02-05  -   SELL    -75 51.2000 3,840.00    -1.08   0.00     
+U1418343   SCTY    2015-02-02, 11:28:54    2015-02-05  -   SELL    -25 53.0000 1,325.00    -1.03   0.00     
+U1418343   SCTY    2015-02-04, 09:58:28    2015-02-09  -   SELL    -25 54.7400 1,368.50    -1.03   0.00     
+U1418343   SCTY    2015-02-04, 10:00:46    2015-02-09  -   SELL    -25 55.0000 1,375.00    -1.03   0.00     
+U1418343   SCTY    2015-02-04, 10:37:37    2015-02-09  -   SELL    -25 53.5180 1,337.95    -1.03   0.00    D
+U1418343   SCTY    2015-02-04, 13:40:31    2015-02-09  -   SELL    -25 53.7500 1,343.75    -1.03   0.00     
+U1418343   SCTY    2015-02-04, 14:22:29    2015-02-09  -   SELL    -25 53.5500 1,338.75    -1.03   0.00     
+U1418343   SCTY    2015-02-18, 17:02:09    2015-02-23  -   SELL    -25 54.2500 1,356.25    -1.02   0.00     
+U1418343   SCTY    2015-02-26, 09:02:23    2015-03-03  -   SELL    -25 54.6500 1,366.25    -1.03   0.00     
+U1418343   SCTY    2015-03-05, 10:00:46    2015-03-10  -   SELL    -25 50.7900 1,269.75    -1.02   0.00     
+U1418343   SCTY    2015-03-05, 12:37:12    2015-03-10  -   SELL    -100    51.4200 5,142.00    -1.09   0.00    P
+U1418343   SCTY    2015-03-18, 13:46:37    2015-03-23  -   SELL    -25 49.3060 1,232.65    -1.02   0.00    D
+U1418343   SCTY    2015-04-21, 11:38:44    2015-04-24  -   SELL    -25 57.5000 1,437.50    -1.03   0.00    D
Total SCTY (Sold)   -1,705  53.6833724  91,530.15   -36.98  0.00     
Total SCTY  0       1,146.33    -77.98  0.00     
+U1418343   SDRL    2015-02-05, 07:22:17    2015-02-10  -   BUY 50  12.4500 -622.50 -1.00   0.00     
+U1418343   SDRL    2015-02-11, 10:32:14    2015-02-17  -   BUY 50  12.4100 -620.50 -1.00   0.00    P
+U1418343   SDRL    2015-02-11, 10:58:28    2015-02-17  -   BUY 50  12.8400 -642.00 -1.00   0.00     
+U1418343   SDRL    2015-02-11, 11:15:00    2015-02-17  -   BUY 100 13.0100 -1,301.00   -1.00   0.00     
+U1418343   SDRL    2015-03-19, 10:14:00    2015-03-24  -   BUY 50  9.3890  -469.45 -1.00   0.00    D
Total SDRL (Bought) 300 12.1848333  -3,655.45   -5.00   0.00     
+U1418343   SDRL    2015-02-04, 11:15:30    2015-02-09  -   SELL    -50 12.6000 630.00  -1.01   0.00     
+U1418343   SDRL    2015-02-11, 09:48:05    2015-02-17  -   SELL    -100    12.6000 1,260.00    -1.02   0.00     
+U1418343   SDRL    2015-02-11, 11:08:16    2015-02-17  -   SELL    -100    12.9000 1,290.00    -1.02   0.00     
+U1418343   SDRL    2015-03-19, 04:19:33    2015-03-24  -   SELL    -50 9.4500  472.50  -1.01   0.00     
Total SDRL (Sold)   -300    12.1750 3,652.50    -4.07   0.00     
Total SDRL  0       -2.95   -9.07   0.00     
